pincode,postal_code,locality,city,statename
110006,DL0331,IDGAH ROAD,DELHI,DELHI
110006,DL0353,JAMA MASJID,DELHI,DELHI
110006,DL0403,KASHMIRI GATE,DELHI,DELHI
110006,DL0414,KHARI BAOLI,DELHI,DELHI
110006,DL0426,KINARI BAZAR,DELHI,DELHI
110006,DL0444,LAHORI GATE,DELHI,DELHI
110006,DL0498,MAYFAIR GARDEN,DELHI,DELHI
110006,DL0526,MORI GATE,DELHI,DELHI
110006,DL0542,NAI SARAK,DELHI,DELHI
110006,DL0570,NAYA MOHALLA,DELHI,DELHI
110006,DL0153,CHAMELIAN RD,DELHI,DELHI
110006,DL0159,CHANDNI CHOWK,DELHI,DELHI
110006,DL0164,CHAWRI BAZAR,DELHI,DELHI
110006,DL0174,CHOORI WALAN,DELHI,DELHI
110006,DL0888,TURKMAN GATE,DELHI,DELHI
110006,DL0831,SITA RAM BAZAR,DELHI,DELHI
110006,DL0930,WILSON SQUARE,DELHI,DELHI
110006,DL0008,AHIRAN GALI,DELHI,DELHI
110006,DL0070,AZAD MARKET,DELHI,DELHI
110006,DL0090,BALLIMARAN,DELHI,DELHI
110006,DL0097,BARA HINDU RAO,DELHI,DELHI
110006,DL0098,BARAF WALI GALI,DELHI,DELHI
110006,DL0102,BARNA STREET,DELHI,DELHI
110006,DL0106,BATASHAN GALI,DELHI,DELHI
110006,DL0213,DHARAMPURA NR CHANDNI CHOWK,DELHI,DELHI
110006,DL0829,SIRKI WALAN,DELHI,DELHI
110006,DL0008,AHIRAN GALI,DELHI,DELHI
110006,DL0070,AZAD MARKET,DELHI,DELHI
110006,DL0090,BALLIMARAN,DELHI,DELHI
110006,DL0097,BARA HINDU RAO,DELHI,DELHI
110006,DL0098,BARAF WALI GALI,DELHI,DELHI
110006,DL0102,BARNA STREET,DELHI,DELHI
110006,DL0106,BATASHAN GALI,DELHI,DELHI
110006,DL0153,CHAMELIAN RD,DELHI,DELHI
110006,DL0159,CHANDNI CHOWK,DELHI,DELHI
110006,DL0164,CHAWRI BAZAR,DELHI,DELHI
110006,DL0174,CHOORI WALAN,DELHI,DELHI
110006,DL0166,CHOTA BAZAR NR CHANDNI CHOWK,DELHI,DELHI
110006,DL0194,DARIBA KALAN,DELHI,DELHI
110006,DL0213,DHARAMPURA NR CHANDNI CHOWK,DELHI,DELHI
110006,DL0239,EAST SADAR THANA RD,DELHI,DELHI
110006,DL0244,FARASH KHANA,DELHI,DELHI
110006,DL0247,FASIL RD,DELHI,DELHI
110006,DL0249,FATEH PURI,DELHI,DELHI
110006,DL0258,FROGH BAZAAR,DELHI,DELHI
110006,DL0272,GALI RAJAN KUCHA CHELAN,DELHI,DELHI
110006,DL0273,GALI SHEESH MAHAL,DELHI,DELHI
110006,DL0280,GAUSHALA MARG,DELHI,DELHI
110006,DL0326,HAUZ QAZI,DELHI,DELHI
110006,DL0331,IDGAH ROAD,DELHI,DELHI
110006,DL0336,INDIA GATE,DELHI,DELHI
110006,DL0353,JAMA MASJID,DELHI,DELHI
110006,DL0403,KASHMIRI GATE,DELHI,DELHI
110006,DL0414,KHARI BAOLI,DELHI,DELHI
110006,DL0426,KINARI BAZAR,DELHI,DELHI
110006,DL0444,LAHORI GATE,DELHI,DELHI
110006,DL0498,MAYFAIR GARDEN,DELHI,DELHI
110006,DL0526,MORI GATE,DELHI,DELHI
110006,DL0542,NAI SARAK,DELHI,DELHI
110006,DL0570,NAYA MOHALLA,DELHI,DELHI
110006,DL0628,PAHARI DHEERAJ,DELHI,DELHI
110006,DL0686,QUTAB ENCLAVE,DELHI,DELHI
110006,DL0722,RED FORT,DELHI,DELHI
110006,DL0732,SADAR BAZAR MAIN,DELHI,DELHI
110006,DL0753,SARAI KHALIL,DELHI,DELHI
110006,DL0779,SHAHABAD MUHAMMADPUR,DELHI,DELHI
110006,DL0829,SIRKI WALAN,DELHI,DELHI
110006,DL0831,SITA RAM BAZAR,DELHI,DELHI
110006,DL0888,TURKMAN GATE,DELHI,DELHI
110006,DL0930,WILSON SQUARE,DELHI,DELHI
110006,DL0008,Ahiran Gali,Delhi,Delhi
110006,DL0070,Azad Market,Delhi,Delhi
110006,DL0090,Ballimaran,Delhi,Delhi
110006,DL0097,Bara Hindu Rao,Delhi,Delhi
110006,DL0098,Baraf Wali Gali,Delhi,Delhi
110006,DL0102,Barna Street,Delhi,Delhi
110006,DL0106,Batashan Gali,Delhi,Delhi
110006,DL0153,Chamelian Rd,Delhi,Delhi
110006,DL0159,Chandni Chowk,Delhi,Delhi
110006,DL0164,Chawri Bazar,Delhi,Delhi
110006,DL0174,Choori Walan,Delhi,Delhi
110006,DL0166,Chota Bazar Nr Chandni Chowk,Delhi,Delhi
110006,DL0194,Dariba Kalan,Delhi,Delhi
110006,DL0213,Dharampura Nr Chandni Chowk,Delhi,Delhi
110006,DL0239,East Sadar Thana Rd,Delhi,Delhi
110006,DL0244,Farash Khana,Delhi,Delhi
110006,DL0247,Fasil Rd,Delhi,Delhi
110006,DL0249,Fateh Puri,Delhi,Delhi
110006,DL0258,Frogh Bazaar,Delhi,Delhi
110006,DL0272,Gali Rajan Kucha Chelan,Delhi,Delhi
110006,DL0273,Gali Sheesh Mahal,Delhi,Delhi
110006,DL0280,Gaushala Marg,Delhi,Delhi
110006,DL0326,Hauz Qazi,Delhi,Delhi
110006,DL0331,Idgah Road,Delhi,Delhi
110006,DL0353,Jama Masjid,Delhi,Delhi
110006,DL0403,Kashmiri Gate,Delhi,Delhi
110006,DL0414,Khari Baoli,Delhi,Delhi
110006,DL0426,Kinari Bazar,Delhi,Delhi
110006,DL0444,Lahori Gate,Delhi,Delhi
110006,DL0498,Mayfair Garden,Delhi,Delhi
110006,DL0526,Mori Gate,Delhi,Delhi
110006,DL0542,Nai Sarak,Delhi,Delhi
110006,DL0570,Naya Mohalla,Delhi,Delhi
110006,DL0628,Pahari Dheeraj,Delhi,Delhi
110006,DL0686,Qutab Enclave,Delhi,Delhi
110006,DL0722,Red Fort,Delhi,Delhi
110006,DL0732,Sadar Bazar Main,Delhi,Delhi
110006,DL0753,Sarai Khalil,Delhi,Delhi
110006,DL0829,Sirki Walan,Delhi,Delhi
110006,DL0831,Sita Ram Bazar,Delhi,Delhi
110006,DL0888,Turkman Gate,Delhi,Delhi
110006,DL0930,Wilson Square,Delhi,Delhi
110007,DL0624,OLD SUBZI MANDI,DELHI,DELHI
110007,DL0626,PADAM NAGAR,DELHI,DELHI
110007,DL0715,RANA PRATAP BAGH,DELHI,DELHI
110007,DL0729,ROSHANHARA ROAD,DELHI,DELHI
110007,DL0730,SABZI MANDI,DELHI,DELHI
110007,DL0205,DELHI UNIVERSITY CAMPUS,DELHI,DELHI
110007,DL0227,DTC COLONY,DELHI,DELHI
110007,DL0306,GULABI BAGH,DELHI,DELHI
110007,DL0393,KAMLA NAGAR,DELHI,DELHI
110007,DL0431,KISHAN GANJ,DELHI,DELHI
110007,DL0473,MALKA GANJ,DELHI,DELHI
110007,DL0493,MAURICE NAGAR,DELHI,DELHI
110007,DL0517,MODEL TOWN,DELHI,DELHI
110007,DL0145,BUNGLOW RD,DELHI,DELHI
110007,DL0148,C C COLONY,DELHI,DELHI
110007,DL0149,CAVALRY LANE,DELHI,DELHI
110007,DL0784,SHAKTI NAGAR,DELHI,DELHI
110007,DL0003,ABDULLAH BEIG GALI,DELHI,DELHI
110007,DL0046,ARYAPURA,DELHI,DELHI
110007,DL0851,SUBZI MANDI,DELHI,DELHI
110007,DL0660,PRATAP NAGAR NR SABZI MANDI,DELHI,DELHI
110007,DL0803,SHASTRI NAGAR NR GULABI BAGH,DELHI,DELHI
110007,DL0824,SIDORA KALAN,DELHI,DELHI
110007,DL0886,TRIPOLIA GUR MANDI,DELHI,DELHI
